Feature name	Feature description	Feature name paper	Feature ID	Feature type	Feature variation	Phenotype1	Description phenotype 1	Phenotype2	Description phenotype 2	Tissue	Tissue description	Experimental	Method	Interaction observed	Name interactive feature	ID interactive feature	Type interactive feature	Organism	Population	T.cruzi strain	Paper PMID	Paper DOI	Paper title	Paper publication date
IFNG	Interferon Gamma	IFN-Î³	ENSCAFG00845013680	Protein	UP	Acute	4 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	Berenice-78	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IFNG	Interferon Gamma	IFN-Î³	ENSCAFG00845013680	Protein	UP	Acute	4 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	Y strain	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IFNG	Interferon Gamma	IFN-Î³	ENSCAFG00845013680	Protein	UP	Cardiac	4 weeks pi	Healthy		PBMC	Right atrium	Yes	ELISA	No				Canis lupus familiaris	Beagle		19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IFNG	Interferon Gamma	IFN-Î³	ENSCAFG00845013680	Protein	UP	Cardiac	100 weeks pi	Healthy		PBMC	Right atrium	Yes	ELISA	No				Canis lupus familiaris	Beagle		19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IFNG	Interferon Gamma	IFN-Î³	ENSCAFG00845013680	Protein	UP	Chronic	48 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	ABC	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IFNG	Interferon Gamma	IFN-Î³	ENSCAFG00845013680	Protein	UP	Chronic	100 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	ABC	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IFNG	Interferon Gamma	IFN-Î³	ENSCAFG00845013680	Protein	UP	Chronic	100 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	Berenice-78	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IFNG	Interferon Gamma	IFN-Î³	ENSCAFG00845013680	Protein	UP	Chronic	48 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	Y strain	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IFNG	Interferon Gamma	IFN-Î³	ENSCAFG00845013680	Protein	UP	Chronic	100 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	Y strain	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IFNG	Interferon Gamma	IFN-Î³	ENSCAFG00845013680	Protein	UP	Indeterminate	4 weeks pi	Healthy		PBMC	Right atrium	Yes	ELISA	No				Canis lupus familiaris	Beagle		19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IFNG	Interferon Gamma	IFN-Î³	ENSCAFG00845013680	Protein	UP	Indeterminate	100 weeks pi	Healthy		PBMC	Right atrium	Yes	ELISA	No				Canis lupus familiaris	Beagle		19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IFNG	Interferon Gamma	IFN-Î³	ENSCAFG00845013680	Protein	UP	Cardiac	4 weeks pi	Indeterminate	4 weeks pi	PBMC	Right atrium	Yes	ELISA	No				Canis lupus familiaris	Beagle		19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IL10	Interleukin 10	IL-10	ENSCAFG00845001289	Protein	UP	Indeterminate	4 weeks pi	Cardiac	4 weeks pi	PBMC	Right atrium	Yes	ELISA	No				Canis lupus familiaris	Beagle		19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IL10	Interleukin 10	IL-10	ENSCAFG00845001289	Protein	UP	Indeterminate	100 weeks pi	Cardiac	100 weeks pi	PBMC	Right atrium	Yes	ELISA	No				Canis lupus familiaris	Beagle		19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IL10	Interleukin 10	IL-10	ENSCAFG00845001289	Protein	UP	Acute	4 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	ABC	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IL10	Interleukin 10	IL-10	ENSCAFG00845001289	Protein	UP	Acute	4 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	Berenice-78	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IL10	Interleukin 10	IL-10	ENSCAFG00845001289	Protein	UP	Acute	4 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	Y strain	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IL10	Interleukin 10	IL-10	ENSCAFG00845001289	Protein	UP	Cardiac	4 weeks pi	Healthy		PBMC	Right atrium	Yes	ELISA	No				Canis lupus familiaris	Beagle		19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IL10	Interleukin 10	IL-10	ENSCAFG00845001289	Protein	UP	Cardiac	100 weeks pi	Healthy		PBMC	Right atrium	Yes	ELISA	No				Canis lupus familiaris	Beagle		19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IL10	Interleukin 10	IL-10	ENSCAFG00845001289	Protein	UP	Chronic	48 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	ABC	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IL10	Interleukin 10	IL-10	ENSCAFG00845001289	Protein	UP	Chronic	100 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	ABC	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IL10	Interleukin 10	IL-10	ENSCAFG00845001289	Protein	UP	Chronic	48 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	Berenice-78	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IL10	Interleukin 10	IL-10	ENSCAFG00845001289	Protein	UP	Chronic	100 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	Berenice-78	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IL10	Interleukin 10	IL-10	ENSCAFG00845001289	Protein	UP	Chronic	48 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	Y strain	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IL10	Interleukin 10	IL-10	ENSCAFG00845001289	Protein	UP	Indeterminate	4 weeks pi	Healthy		PBMC	Right atrium	Yes	ELISA	No				Canis lupus familiaris	Beagle		19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
IL10	Interleukin 10	IL-10	ENSCAFG00845001289	Protein	UP	Indeterminate	100 weeks pi	Healthy		PBMC	Right atrium	Yes	ELISA	No				Canis lupus familiaris	Beagle		19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
TNF	Tumor Necrosis Factor	TNF-Î±	ENSCAFG00845010558	Protein	UP	Cardiac	100 weeks pi	Cardiac	100 weeks pi	PBMC	Right atrium	Yes	ELISA	No				Canis lupus familiaris	Beagle		19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
TNF	Tumor Necrosis Factor	TNF-Î±	ENSCAFG00845010558	Protein	UP	Acute	4 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	ABC	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
TNF	Tumor Necrosis Factor	TNF-Î±	ENSCAFG00845010558	Protein	UP	Acute	4 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	Berenice-78	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
TNF	Tumor Necrosis Factor	TNF-Î±	ENSCAFG00845010558	Protein	UP	Acute	4 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	Y strain	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
TNF	Tumor Necrosis Factor	TNF-Î±	ENSCAFG00845010558	Protein	UP	Cardiac	4 weeks pi	Healthy		PBMC	Right atrium	Yes	ELISA	No				Canis lupus familiaris	Beagle		19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
TNF	Tumor Necrosis Factor	TNF-Î±	ENSCAFG00845010558	Protein	UP	Cardiac	100 weeks pi	Healthy		PBMC	Right atrium	Yes	ELISA	No				Canis lupus familiaris	Beagle		19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
TNF	Tumor Necrosis Factor	TNF-Î±	ENSCAFG00845010558	Protein	UP	Chronic	48 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	ABC	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
TNF	Tumor Necrosis Factor	TNF-Î±	ENSCAFG00845010558	Protein	UP	Chronic	100 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	ABC	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
TNF	Tumor Necrosis Factor	TNF-Î±	ENSCAFG00845010558	Protein	UP	Chronic	48 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	Berenice-78	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
TNF	Tumor Necrosis Factor	TNF-Î±	ENSCAFG00845010558	Protein	UP	Chronic	100 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	Berenice-78	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
TNF	Tumor Necrosis Factor	TNF-Î±	ENSCAFG00845010558	Protein	UP	Chronic	48 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	Y strain	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
TNF	Tumor Necrosis Factor	TNF-Î±	ENSCAFG00845010558	Protein	UP	Chronic	100 weeks pi	Healthy		PBMC		Yes	ELISA	No				Canis lupus familiaris	Beagle	Y strain	19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
TNF	Tumor Necrosis Factor	TNF-Î±	ENSCAFG00845010558	Protein	UP	Indeterminate	4 weeks pi	Healthy		PBMC	Right atrium	Yes	ELISA	No				Canis lupus familiaris	Beagle		19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
TNF	Tumor Necrosis Factor	TNF-Î±	ENSCAFG00845010558	Protein	UP	Indeterminate	100 weeks pi	Healthy		PBMC	Right atrium	Yes	ELISA	No				Canis lupus familiaris	Beagle		19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
TNF	tumor necrosis factor	TNF-Î±	ENSG00000232810	Protein	UP	Severe cardiac		Healthy		Plasma		Yes	ELISA	No				Homo sapiens	Brazil		19654138	10.1093/eurjhf/hfp105	Plasma concentrations of tumour necrosis factor-alpha, tumour necrosis factor-related apoptosis-inducing ligand, and FasLigand/CD95L in patients with Chagas cardiomyopathy correlate with left ventricular dysfunction	2009
TNF	Tumor Necrosis Factor	TNF-Î±	ENSCAFG00845010558	Protein	UP	Cardiac	4 weeks pi	Indeterminate	4 weeks pi	PBMC	Right atrium	Yes	ELISA	No				Canis lupus familiaris	Beagle		19211152	10.1016/j.vetimm.2009.01.004	Development of chronic cardiomyopathy in canine Chagas disease correlates with high IFN-gamma, TNF-alpha, and low IL-10 production during the acute infection phase	2009
TNF	tumor necrosis factor	TNF-Î±	ENSG00000232810	Protein	UP	Severe cardiac		Mild cardiac		Plasma		Yes	ELISA	No				Homo sapiens	Brazil		19654138	10.1093/eurjhf/hfp105	Plasma concentrations of tumour necrosis factor-alpha, tumour necrosis factor-related apoptosis-inducing ligand, and FasLigand/CD95L in patients with Chagas cardiomyopathy correlate with left ventricular dysfunction	2009
TNFSF10	TNF superfamily member 10	TRAIL	ENSG00000121858	Protein	UP	Severe cardiac		Healthy		Plasma		Yes	ELISA	No				Homo sapiens	Brazil		19654138	10.1093/eurjhf/hfp105	Plasma concentrations of tumour necrosis factor-alpha, tumour necrosis factor-related apoptosis-inducing ligand, and FasLigand/CD95L in patients with Chagas cardiomyopathy correlate with left ventricular dysfunction	2009
TNFSF10	TNF superfamily member 10	TRAIL	ENSG00000121858	Protein	UP	Severe cardiac		Mild cardiac		Plasma		Yes	ELISA	No				Homo sapiens	Brazil		19654138	10.1093/eurjhf/hfp105	Plasma concentrations of tumour necrosis factor-alpha, tumour necrosis factor-related apoptosis-inducing ligand, and FasLigand/CD95L in patients with Chagas cardiomyopathy correlate with left ventricular dysfunction	2009
Adrb2	adrenergic receptor, beta 2 [Source:MGI Symbol;Acc:MGI:87938]	Î²-Adrenergic receptor	ENSMUSG00000045730	Protein	UP	Chronic	90 dpi	Healthy		Plasma		Yes	radioligand	No				Mus musculus	Albino Swiss	SGO-Z12	18582889	10.1016/j.ijpara.2008.04.009	Some components of the cardiac Î²-adrenergic system are altered in the chronic indeterminate form of experimental Trypanosoma cruzi infection	2008
Arg1	arginase, liver [Source:MGI Symbol;Acc:MGI:88070]	Arginase 1	ENSMUSG00000019987	Protein	UP	Acute	14 dpi	Healthy		Heart		Yes	Western blot	No				Mus musculus	BALB/c	Y strain	18473687	10.1086/529527	Inducible nitric oxide synthase and arginase expression in heart tissue during acute Trypanosoma cruzi infection in mice: arginase I is expressed in infiltrating CD68+ macrophages	2008
Arg1	arginase, liver [Source:MGI Symbol;Acc:MGI:88070]	Arginase 1	ENSMUSG00000019987	Protein	UP	Acute	21 dpi	Healthy		Heart		Yes	Western blot	No				Mus musculus	BALB/c	Y strain	18473687	10.1086/529527	Inducible nitric oxide synthase and arginase expression in heart tissue during acute Trypanosoma cruzi infection in mice: arginase I is expressed in infiltrating CD68+ macrophages	2008
Arg1	arginase, liver [Source:MGI Symbol;Acc:MGI:88070]	Arginase 1	ENSMUSG00000019987	Protein	UP	Acute	28 dpi	Healthy		Heart		Yes	Western blot	No				Mus musculus	BALB/c	Y strain	18473687	10.1086/529527	Inducible nitric oxide synthase and arginase expression in heart tissue during acute Trypanosoma cruzi infection in mice: arginase I is expressed in infiltrating CD68+ macrophages	2008
Arg1	arginase, liver [Source:MGI Symbol;Acc:MGI:88070]	Arginase 1	ENSMUSG00000019987	Protein	UP	Acute	42 dpi	Healthy		Heart		Yes	Western blot	No				Mus musculus	BALB/c	Y strain	18473687	10.1086/529527	Inducible nitric oxide synthase and arginase expression in heart tissue during acute Trypanosoma cruzi infection in mice: arginase I is expressed in infiltrating CD68+ macrophages	2008
Arg1	arginase, liver [Source:MGI Symbol;Acc:MGI:88070]	Arginase 1	ENSMUSG00000019987	Protein	UP	Acute	14 dpi	Healthy		Heart		Yes	Western blot	No				Mus musculus	C57BL/6	Y strain	18473687	10.1086/529527	Inducible nitric oxide synthase and arginase expression in heart tissue during acute Trypanosoma cruzi infection in mice: arginase I is expressed in infiltrating CD68+ macrophages	2008
Camp	cathelicidin antimicrobial peptide [Source:MGI Symbol;Acc:MGI:108443]	cAMP	ENSMUSG00000038357	Protein	UP	Chronic	90 dpi	Healthy		Heart		Yes	ELISA	No				Mus musculus	Albino Swiss	SGO-Z12	18582889	10.1016/j.ijpara.2008.04.009	Some components of the cardiac Î²-adrenergic system are altered in the chronic indeterminate form of experimental Trypanosoma cruzi infection	2008
Camp	cathelicidin antimicrobial peptide [Source:MGI Symbol;Acc:MGI:108443]	cAMP	ENSMUSG00000038357	Protein	UP	Chronic	75 dpi	Healthy		Heart		Yes	ELISA	No				Mus musculus	Albino Swiss	Tulahuen	18582889	10.1016/j.ijpara.2008.04.009	Some components of the cardiac Î²-adrenergic system are altered in the chronic indeterminate form of experimental Trypanosoma cruzi infection	2008
Mmp2	matrix metallopeptidase 2 [Source:MGI Symbol;Acc:MGI:97009]	MMP-2	ENSMUSG00000031740	Protein	UP	Acute	20 dpi	Healthy		Heart		Yes	ELISA	No				Mus musculus	C57BL/6	Y strain	18444803	10.1086/587487	Increased activities of cardiac matrix metalloproteinases matrix metalloproteinase (MMP)-2 and MMP-9 are associated with mortality during the acute phase of experimental Trypanosoma cruzi infection	2008
Norepinephrine		Norepinephrine		Protein	DOWN	Chronic	90 dpi	Healthy		Plasma		Yes	reverse-phase HPLC	Yes				Mus musculus	Albino Swiss	SGO-Z12	18582889	10.1016/j.ijpara.2008.04.009	Some components of the cardiac Î²-adrenergic system are altered in the chronic indeterminate form of experimental Trypanosoma cruzi infection	2008
Norepinephrine		Norepinephrine		Protein	DOWN	Chronic	75 dpi	Healthy		Plasma		Yes	reverse-phase HPLC	Yes				Mus musculus	Albino Swiss	Tulahuen	18582889	10.1016/j.ijpara.2008.04.009	Some components of the cardiac Î²-adrenergic system are altered in the chronic indeterminate form of experimental Trypanosoma cruzi infection	2008
CD68	CD68 molecule	CD68	ENSG00000129226	Protein	UP	Cardiac		Healthy		Heart	Right ventricle	Yes	immunohistochemical analysis	No				Homo sapiens	Brazil		17635814	10.1111/j.1365-3083.2007.01987.x	Locally produced survival cytokines IL-15 and IL-7 may be associated to the predominance of CD8+ T cells at heart lesions of human chronic Chagas disease cardiomyopathy	2007
GSTP1	glutathione S-transferase pi 1	GST	ENSG00000084207	Protein	UP	Asymptomatic		Healthy		Blood		Yes	GSH concentration	No				Homo sapiens	Brazil		16859784	10.1016/j.ijcard.2006.04.046	Oxidative stress in chronic cardiopathy associated with Chagas disease	2007
GSTP1	glutathione S-transferase pi 1	GST	ENSG00000084207	Protein	UP	Moderate cardiac	Moderate cardiac impairment	Healthy		Blood		Yes	GSH concentration	No				Homo sapiens	Brazil		16859784	10.1016/j.ijcard.2006.04.046	Oxidative stress in chronic cardiopathy associated with Chagas disease	2007
IL15	interleukin 15	IL15	ENSG00000164136	Protein	UP	Cardiac		Healthy		Heart	Right ventricle	Yes	immunohistochemical analysis	No				Homo sapiens	Brazil		17635814	10.1111/j.1365-3083.2007.01987.x	Locally produced survival cytokines IL-15 and IL-7 may be associated to the predominance of CD8+ T cells at heart lesions of human chronic Chagas disease cardiomyopathy	2007
CXCL9	C-X-C motif chemokine ligand 9	MIG	ENSG00000138755	Protein	UP	Digestive	Esophagopathy	Healthy		Blood		Yes	Enzyme immunoassay	No				Homo sapiens	Brazil		16513426	10.1016/j.clim.2005.12.011	Evaluation of cytokines (MIG, IFN-gamma, TNF-alpha, IL-4, IL-5, and IL-10) during the different evolutive phases of chagasic esophagopathy	2006
GPX1	glutathione peroxidase 1	GPx	ENSG00000233276	Protein	UP	Chagas		Healthy		Blood		Yes	TBARS assay	No				Homo sapiens			16814107	10.1016/j.freeradbiomed.2006.04.009	Increased oxidative stress is correlated with mitochondrial dysfunction in chagasic patients	2006
GSS	glutathione synthetase	Glutathione	ENSG00000100983	Protein	UP	Chagas		Healthy		Blood		Yes	TBARS assay	No				Homo sapiens			16814107	10.1016/j.freeradbiomed.2006.04.009	Increased oxidative stress is correlated with mitochondrial dysfunction in chagasic patients	2006
IFNG	interferon gamma	IFN-Î³	ENSG00000111537	Protein	UP	Digestive	Esophagopathy	Healthy		Blood		Yes	Enzyme immunoassay	No				Homo sapiens	Brazil		16513426	10.1016/j.clim.2005.12.011	Evaluation of cytokines (MIG, IFN-gamma, TNF-alpha, IL-4, IL-5, and IL-10) during the different evolutive phases of chagasic esophagopathy	2006
IL24	interleukin 24	MDA	ENSG00000162892	Protein	UP	Chagas		Healthy		Plasma		Yes	TBARS assay	No				Homo sapiens			16814107	10.1016/j.freeradbiomed.2006.04.009	Increased oxidative stress is correlated with mitochondrial dysfunction in chagasic patients	2006
IL24	interleukin 24	MDA	ENSG00000162892	Protein	UP	Chagas		Healthy		Blood	Mitochondrial	Yes	TBARS assay	No				Homo sapiens			16814107	10.1016/j.freeradbiomed.2006.04.009	Increased oxidative stress is correlated with mitochondrial dysfunction in chagasic patients	2006
MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	ENSG00000198888		Protein	DOWN	Chagas		Healthy		Blood	Mitochondrial	Yes	pyrogallol oxidation	No				Homo sapiens			16814107	10.1016/j.freeradbiomed.2006.04.009	Increased oxidative stress is correlated with mitochondrial dysfunction in chagasic patients	2006
SOD1	superoxide dismutase 1	SOD	ENSG00000142168	Protein	UP	Chagas		Healthy		Blood		Yes	TBARS assay	No				Homo sapiens			16814107	10.1016/j.freeradbiomed.2006.04.009	Increased oxidative stress is correlated with mitochondrial dysfunction in chagasic patients	2006
SOD2	Superoxide Dismutase 2	MnSOD	ENSG00000291237	Protein	DOWN	Chagas		Healthy		Blood	Mitochondrial	Yes	pyrogallol oxidation	No				Homo sapiens			16814107	10.1016/j.freeradbiomed.2006.04.009	Increased oxidative stress is correlated with mitochondrial dysfunction in chagasic patients	2006
TNF	tumor necrosis factor	TNF-Î±	ENSG00000232810	Protein	UP	Digestive	Esophagopathy	Healthy		Blood		Yes	Enzyme immunoassay	No				Homo sapiens	Brazil		16513426	10.1016/j.clim.2005.12.011	Evaluation of cytokines (MIG, IFN-gamma, TNF-alpha, IL-4, IL-5, and IL-10) during the different evolutive phases of chagasic esophagopathy	2006
UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI	Complex 3	ENSG00000127540	Protein	DOWN	Chagas		Healthy		Blood	Mitochondrial	Yes	pyrogallol oxidation	No				Homo sapiens			16814107	10.1016/j.freeradbiomed.2006.04.009	Increased oxidative stress is correlated with mitochondrial dysfunction in chagasic patients	2006
CCR3	C-C motif chemokine receptor 3	CCR3	ENSG00000183625	Protein	UP	Indeterminate		Healthy		PBMC		Yes	Cytometry	No				Homo sapiens	Brazil	Y strain	16299288	10.1128/IAI.73.12.7960-7966.2005	Type 1 Chemokine Receptor Expression in Chagas' Disease Correlates with Morbidity in Cardiac Patients	2005
Ccr5	chemokine (C-C motif) receptor 5 [Source:MGI Symbol;Acc:MGI:107182]	CCR5	ENSMUSG00000079227	Protein	UP	Acute	40h pi	Healthy		Heart	CD4+	Yes	Flow cytometry	No				Mus musculus	C57BL/6	Y strain	15655788	10.1086/427515	CCR5 Plays a Critical Role in the Development of Myocarditis and Host Protection in Mice Infected with Trypanosoma cruzi	2005
Ccr5	chemokine (C-C motif) receptor 5 [Source:MGI Symbol;Acc:MGI:107182]	CCR5	ENSMUSG00000079227	Protein	UP	Acute	40h pi	Healthy		Heart	CD8+	Yes	Flow cytometry	No				Mus musculus	C57BL/6	Y strain	15655788	10.1086/427515	CCR5 Plays a Critical Role in the Development of Myocarditis and Host Protection in Mice Infected with Trypanosoma cruzi	2005
Ccr5	chemokine (C-C motif) receptor 5 [Source:MGI Symbol;Acc:MGI:107182]	CCR5	ENSMUSG00000079227	Protein	UP	Acute	5 dpi	Healthy		Splenocyte	CD3+	Yes	Flow cytometry	No				Mus musculus	C57BL/6	Y strain	15655788	10.1086/427515	CCR5 Plays a Critical Role in the Development of Myocarditis and Host Protection in Mice Infected with Trypanosoma cruzi	2005
Ccr5	chemokine (C-C motif) receptor 5 [Source:MGI Symbol;Acc:MGI:107182]	CCR5	ENSMUSG00000079227	Protein	UP	Acute	10 dpi	Healthy		Splenocyte	CD3+	Yes	Flow cytometry	No				Mus musculus	C57BL/6	Y strain	15655788	10.1086/427515	CCR5 Plays a Critical Role in the Development of Myocarditis and Host Protection in Mice Infected with Trypanosoma cruzi	2005
